ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2430826,86 940,Memar Əcəmi m.,1,64.4,4,17,13 yanvar 2022,https://bina.az/items/2430826
2539752,56 000,Bakıxanov q.,1,49,8,8,15 yanvar 2022,https://bina.az/items/2539752
2544214,81 810,Memar Əcəmi m.,1,60.6,16,17,15 yanvar 2022,https://bina.az/items/2544214
2430579,78 840,Memar Əcəmi m.,1,58.4,15,17,05 yanvar 2022,https://bina.az/items/2430579
220,63 349,Yasamal r.,1,46.4,,,13 yanvar 2022,https://bina.az/items/220
86,263 498,Sea Breeze ,1,59.4,,,bugün 12:33,https://bina.az/items/86
85,161 684,Sea Breeze ,1,51.4,,,bugün 12:32,https://bina.az/items/85
206,137 180,Bakı,1,72.2,,,bugün 10:57,https://bina.az/items/206
2477781,65 000,20 Yanvar m.,1,28,6,16,bugün 20:57,https://bina.az/items/2477781
2569612,100 000,Nərimanov r.,1,48,10,16,bugün 21:01,https://bina.az/items/2569612
2569611,32 000,Məmmədli q.,1,40,2,3,bugün 20:47,https://bina.az/items/2569611
2569572,125 000,28 May m.,1,50,4,16,bugün 20:22,https://bina.az/items/2569572
2547047,91 000,Xətai r.,1,65,10,15,bugün 20:10,https://bina.az/items/2547047
2569545,85 000,Nəriman Nərimanov m.,1,52,10,17,bugün 20:03,https://bina.az/items/2569545
2569532,48 000,İçəri Şəhər m.,1,20,2,2,bugün 19:55,https://bina.az/items/2569532
2569464,84 000,Əhmədli m.,1,80,12,16,bugün 19:11,https://bina.az/items/2569464
2569435,61 000,9-cu mikrorayon q.,1,32,5,5,bugün 18:56,https://bina.az/items/2569435
2569405,70 000,8-ci mikrorayon q.,1,42,4,9,bugün 18:44,https://bina.az/items/2569405
2518710,105 000,Şah İsmayıl Xətai m.,1,65,12,22,bugün 18:39,https://bina.az/items/2518710
2569389,150 000,Elmlər Akademiyası m.,1,69,6,17,bugün 18:35,https://bina.az/items/2569389
2569331,90 000,İnşaatçılar m.,1,44.2,11,17,bugün 18:12,https://bina.az/items/2569331
2569279,72 000,Həzi Aslanov m.,1,65,5,16,bugün 17:51,https://bina.az/items/2569279
2569244,68 000,Qara Qarayev m.,1,44.4,12,17,bugün 17:42,https://bina.az/items/2569244
2565695,100 000,20 Yanvar m.,1,67,13,18,bugün 17:40,https://bina.az/items/2565695
2517975,142 000,Nəriman Nərimanov m.,1,66,8,16,bugün 18:08,https://bina.az/items/2517975
2569142,71 000,Azadlıq Prospekti m.,1,35,5,9,bugün 17:20,https://bina.az/items/2569142
