ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2566486,338 100,Xətai r.,4,161,2,7,dünən 11:51,https://bina.az/items/2566486
1754338,198 000,Yasamal q.,4,125,16,22,bugün 13:38,https://bina.az/items/1754338
2422826,293 700,Nərimanov r.,4,178,16,17,bugün 14:27,https://bina.az/items/2422826
2498547,295 000,Xətai r.,4,163,4,7,04 yanvar 2022,https://bina.az/items/2498547
221,666 480,Bakı,4,240,,,14 yanvar 2022,https://bina.az/items/221
206,424 650,Bakı,4,223.5,,,bugün 10:57,https://bina.az/items/206
212,187 600,Bakı,4,134,,,bugün 15:08,https://bina.az/items/212
206,463 200,Bakı,4,231.6,,,bugün 10:57,https://bina.az/items/206
2569648,233 000,Nəriman Nərimanov m.,4,183,5,16,bugün 21:27,https://bina.az/items/2569648
2569632,160 000,Yasamal q.,4,85,3,3,bugün 21:16,https://bina.az/items/2569632
2569608,390 000,Şah İsmayıl Xətai m.,4,167,7,15,bugün 20:45,https://bina.az/items/2569608
2569590,119 000,9-cu mikrorayon q.,4,85,2,9,bugün 20:35,https://bina.az/items/2569590
2569566,162 000,20 Yanvar m.,4,101,12,17,bugün 20:20,https://bina.az/items/2569566
2569564,310 000,Nəsimi r.,4,192.5,8,20,bugün 20:17,https://bina.az/items/2569564
2569556,310 000,Nəsimi r.,4,185,10,18,bugün 20:10,https://bina.az/items/2569556
2203138,355 000,Nəsimi r.,4,157,7,17,bugün 19:59,https://bina.az/items/2203138
2497789,655 000,Yasamal r.,4,205,5,22,bugün 19:52,https://bina.az/items/2497789
2568637,295 000,Elmlər Akademiyası m.,4,170,4,17,bugün 19:50,https://bina.az/items/2568637
2569517,535 000,Nəsimi r.,4,225,8,24,bugün 19:47,https://bina.az/items/2569517
2569510,154 000,Həzi Aslanov m.,4,136,5,20,bugün 20:00,https://bina.az/items/2569510
1836656,685 000,Elmlər Akademiyası m.,4,207,9,17,bugün 19:36,https://bina.az/items/1836656
570870,1 250 000,Nərimanov r.,4,275,4,9,bugün 19:35,https://bina.az/items/570870
2489115,200 000,Şah İsmayıl Xətai m.,4,209,17,20,bugün 19:35,https://bina.az/items/2489115
2569496,263 000,Qara Qarayev m.,4,142,12,18,bugün 19:27,https://bina.az/items/2569496
2569495,200 000,Nəsimi m.,4,150,10,11,bugün 19:23,https://bina.az/items/2569495
