ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2546739,124 000,Əhmədli m.,3,65,3,9,12 yanvar 2022,https://bina.az/items/2546739
2544958,160 000,Koroğlu m.,3,136,3,16,12 yanvar 2022,https://bina.az/items/2544958
2548367,140 000,Əhmədli m.,3,100,9,20,13 yanvar 2022,https://bina.az/items/2548367
2568420,72 000,Masazır q.,3,83,1,12,bugün 14:54,https://bina.az/items/2568420
221,357 130,Bakı,3,142,,,14 yanvar 2022,https://bina.az/items/221
220,132 286,Yasamal r.,3,95.2,,,13 yanvar 2022,https://bina.az/items/220
212,187 124,Bakı,3,133.7,,,bugün 11:22,https://bina.az/items/212
85,498 105,Sea Breeze ,3,158.4,,,bugün 12:32,https://bina.az/items/85
2569637,75 000,Məmmədli q.,3,85,4,5,bugün 21:18,https://bina.az/items/2569637
2569628,198 000,Yeni Yasamal q.,3,130.4,5,18,bugün 21:12,https://bina.az/items/2569628
1583661,515 000,Şah İsmayıl Xətai m.,3,142,13,18,bugün 21:11,https://bina.az/items/1583661
2569626,175 000,Nəsimi r.,3,103,9,16,bugün 21:10,https://bina.az/items/2569626
2569624,250 000,Nərimanov r.,3,156,11,16,bugün 21:05,https://bina.az/items/2569624
1424870,285 000,Şah İsmayıl Xətai m.,3,127,18,20,bugün 21:02,https://bina.az/items/1424870
2569621,113 000,9-cu mikrorayon q.,3,85,7,9,bugün 21:01,https://bina.az/items/2569621
2383898,145 000,İnşaatçılar m.,3,100,8,17,bugün 20:57,https://bina.az/items/2383898
2389796,215 000,Nəsimi r.,3,138,15,17,bugün 20:38,https://bina.az/items/2389796
2569595,303 000,İnşaatçılar m.,3,154,6,20,bugün 20:37,https://bina.az/items/2569595
2569594,170 000,Nizami m.,3,70,6,9,bugün 20:36,https://bina.az/items/2569594
2569591,85 000,Masazır q.,3,86,5,8,bugün 20:35,https://bina.az/items/2569591
2538910,118 000,Memar Əcəmi m.,3,70,3,5,bugün 20:31,https://bina.az/items/2538910
2569583,175 000,Nəsimi r.,3,80,4,12,bugün 20:28,https://bina.az/items/2569583
2569581,158 000,Nizami m.,3,101,8,16,bugün 20:27,https://bina.az/items/2569581
2569579,130 000,Həzi Aslanov m.,3,89,6,17,bugün 20:26,https://bina.az/items/2569579
2569576,148 000,İnşaatçılar m.,3,108,14,19,bugün 20:24,https://bina.az/items/2569576
2569573,224 000,Elmlər Akademiyası m.,3,136,15,16,bugün 20:22,https://bina.az/items/2569573
2569570,115 000,İnşaatçılar m.,3,64,4,16,bugün 20:21,https://bina.az/items/2569570
2558141,140 000,Yasamal r.,3,85,5,9,bugün 20:20,https://bina.az/items/2558141
2569565,240 000,Nəriman Nərimanov m.,3,133,6,16,bugün 20:20,https://bina.az/items/2569565
2556160,156 000,Nəsimi r.,3,100,15,20,bugün 20:15,https://bina.az/items/2556160
2478267,155 000,20 Yanvar m.,3,135,15,20,bugün 20:06,https://bina.az/items/2478267
2460060,235 000,Nəsimi r.,3,96,14,16,bugün 20:04,https://bina.az/items/2460060
2545154,128 500,İnşaatçılar m.,3,98,7,10,13 yanvar 2022,https://bina.az/items/2545154
2541740,148 000,Gənclik m.,3,80,8,9,12 yanvar 2022,https://bina.az/items/2541740
2553864,210 000,Nərimanov r.,3,163.5,17,17,10 yanvar 2022,https://bina.az/items/2553864
2541342,198 000,İnşaatçılar m.,3,117,5,16,bugün 17:11,https://bina.az/items/2541342
212,187 124,Bakı,3,133.7,,,bugün 11:22,https://bina.az/items/212
220,132 286,Yasamal r.,3,95.2,,,13 yanvar 2022,https://bina.az/items/220
85,498 105,Sea Breeze ,3,158.4,,,bugün 12:32,https://bina.az/items/85
139,231 250,Ağ şəhər ,3,125,,,04 yanvar 2022,https://bina.az/items/139
2569547,90 000,Biləcəri q.,3,72,3,5,bugün 20:04,https://bina.az/items/2569547
2569546,102 000,Nizami r.,3,120,15,18,bugün 20:04,https://bina.az/items/2569546
2569544,90 000,Yasamal r.,3,70,4,9,bugün 20:02,https://bina.az/items/2569544
2569542,175 000,Həzi Aslanov m.,3,124,4,19,bugün 20:00,https://bina.az/items/2569542
2569541,135 000,Neftçilər m.,3,117,10,11,bugün 20:04,https://bina.az/items/2569541
2569539,127 000,Əhmədli m.,3,80,7,9,bugün 19:59,https://bina.az/items/2569539
2569538,155 000,Xətai r.,3,140,12,16,bugün 19:59,https://bina.az/items/2569538
2569537,155 000,Biləcəri q.,3,128,11,16,bugün 19:58,https://bina.az/items/2569537
2569535,258 000,Xətai r.,3,120,7,7,bugün 20:04,https://bina.az/items/2569535
2569530,145 000,İnşaatçılar m.,3,100,8,17,bugün 19:55,https://bina.az/items/2569530
2569526,235 000,Sahil m.,3,92,2,3,bugün 19:53,https://bina.az/items/2569526
2569521,470 000,Şah İsmayıl Xətai m.,3,148,13,17,bugün 19:49,https://bina.az/items/2569521
2569518,63 000,Ceyranbatan q.,3,173,14,14,bugün 19:48,https://bina.az/items/2569518
2569512,289 000,Azadlıq Prospekti m.,3,140,5,17,bugün 19:40,https://bina.az/items/2569512
2569508,185 000,Yeni Yasamal q.,3,134,6,18,bugün 19:37,https://bina.az/items/2569508
2508658,160 000,Nəriman Nərimanov m.,3,93,9,16,bugün 19:38,https://bina.az/items/2508658
2497631,208 000,Nərimanov r.,3,115,13,16,bugün 19:27,https://bina.az/items/2497631
2558309,157 000,Əhmədli m.,3,106,9,16,bugün 19:23,https://bina.az/items/2558309
2180395,192 000,Xətai r.,3,96,16,17,bugün 19:22,https://bina.az/items/2180395
1203029,353 000,Elmlər Akademiyası m.,3,186,11,20,bugün 19:21,https://bina.az/items/1203029
2569429,285 000,Nəsimi m.,3,140,5,17,bugün 19:42,https://bina.az/items/2569429
2569492,141 000,8 Noyabr m.,3,130,12,14,bugün 19:20,https://bina.az/items/2569492
2569489,399 000,Elmlər Akademiyası m.,3,127,9,20,bugün 19:19,https://bina.az/items/2569489
2569488,133 000,Həzi Aslanov m.,3,121,18,18,bugün 19:19,https://bina.az/items/2569488
2567011,308 000,İnşaatçılar m.,3,154,14,20,dünən 18:23,https://bina.az/items/2567011
2503956,270 000,Gənclik m.,3,138,8,16,08 yanvar 2022,https://bina.az/items/2503956
1871204,230 000,Elmlər Akademiyası m.,3,101,2,5,08 yanvar 2022,https://bina.az/items/1871204
2543534,125 000,Yeni Yasamal q.,3,130,11,12,10 yanvar 2022,https://bina.az/items/2543534
85,498 105,Sea Breeze ,3,158.4,,,bugün 12:32,https://bina.az/items/85
220,132 286,Yasamal r.,3,95.2,,,13 yanvar 2022,https://bina.az/items/220
139,231 250,Ağ şəhər ,3,125,,,04 yanvar 2022,https://bina.az/items/139
85,458 663,Sea Breeze ,3,138.4,,,bugün 12:32,https://bina.az/items/85
2569481,175 000,Neftçilər m.,3,135,4,13,bugün 19:16,https://bina.az/items/2569481
2569480,126 000,Memar Əcəmi m.,3,95,10,17,bugün 19:16,https://bina.az/items/2569480
2569476,145 900,Şah İsmayıl Xətai m.,3,111.2,16,16,bugün 19:14,https://bina.az/items/2569476
2569471,223 000,Azadlıq Prospekti m.,3,133,4,16,bugün 19:13,https://bina.az/items/2569471
2569460,369 900,Sahil m.,3,137,6,14,bugün 19:10,https://bina.az/items/2569460
2569456,228 000,Xətai r.,3,139,3,7,bugün 19:09,https://bina.az/items/2569456
2569455,360 000,Nəsimi r.,3,167,9,18,bugün 19:08,https://bina.az/items/2569455
2519575,265 000,Xətai r.,3,147,5,7,bugün 19:05,https://bina.az/items/2519575
2519559,175 000,Əhmədli m.,3,158,18,20,bugün 19:05,https://bina.az/items/2519559
2519457,105 000,İnşaatçılar m.,3,105,23,23,bugün 19:04,https://bina.az/items/2519457
2519446,314 500,Nizami m.,3,185,7,19,bugün 19:04,https://bina.az/items/2519446
2548267,150 000,Yasamal r.,3,100,15,18,bugün 19:03,https://bina.az/items/2548267
2533760,170 000,İnşaatçılar m.,3,120,8,19,bugün 19:16,https://bina.az/items/2533760
2569445,155 000,Yeni Yasamal q.,3,145,16,16,bugün 18:59,https://bina.az/items/2569445
2569437,290 000,Elmlər Akademiyası m.,3,130,14,15,bugün 18:56,https://bina.az/items/2569437
2569430,260 000,Nərimanov r.,3,180,8,20,bugün 18:54,https://bina.az/items/2569430
2569423,195 000,Nərimanov r.,3,118,11,17,bugün 18:51,https://bina.az/items/2569423
2569418,379 000,Nizami m.,3,150,5,14,bugün 18:51,https://bina.az/items/2569418
2569417,132 000,Badamdar q.,3,111,11,17,bugün 18:50,https://bina.az/items/2569417
2569414,195 000,Nəsimi r.,3,117,2,19,bugün 18:49,https://bina.az/items/2569414
2565884,125 000,Nəsimi r.,3,79,9,9,bugün 18:47,https://bina.az/items/2565884
2569404,270 000,Şah İsmayıl Xətai m.,3,137,10,16,bugün 18:44,https://bina.az/items/2569404
2518501,195 000,Nəriman Nərimanov m.,3,135,17,18,bugün 18:42,https://bina.az/items/2518501
2559465,110 000,Binəqədi r.,3,90,2,9,bugün 18:39,https://bina.az/items/2559465
2561723,327 000,Nəriman Nərimanov m.,3,101,4,14,13 yanvar 2022,https://bina.az/items/2561723
2480439,155 000,Nizami m.,3,75.8,3,6,12 yanvar 2022,https://bina.az/items/2480439
2503956,270 000,Gənclik m.,3,138,8,16,08 yanvar 2022,https://bina.az/items/2503956
2567011,308 000,İnşaatçılar m.,3,154,14,20,dünən 18:23,https://bina.az/items/2567011
85,498 105,Sea Breeze ,3,158.4,,,bugün 12:32,https://bina.az/items/85
139,231 250,Ağ şəhər ,3,125,,,04 yanvar 2022,https://bina.az/items/139
220,132 286,Yasamal r.,3,95.2,,,13 yanvar 2022,https://bina.az/items/220
86,458 663,Sea Breeze ,3,138.4,,,bugün 12:33,https://bina.az/items/86
2518686,285 000,Şah İsmayıl Xətai m.,3,140,12,18,bugün 18:39,https://bina.az/items/2518686
2569397,228 000,Elmlər Akademiyası m.,3,112,8,17,bugün 18:38,https://bina.az/items/2569397
2569396,289 000,Azadlıq Prospekti m.,3,140,5,17,bugün 18:38,https://bina.az/items/2569396
2569394,165 000,Nizami m.,3,110,2,5,bugün 18:37,https://bina.az/items/2569394
2569393,217 000,Həzi Aslanov q.,3,125,7,16,bugün 18:37,https://bina.az/items/2569393
2569392,136 000,Həzi Aslanov m.,3,98,3,17,bugün 18:36,https://bina.az/items/2569392
2339690,96 000,Şah İsmayıl Xətai m.,3,51,15,17,bugün 18:28,https://bina.az/items/2339690
2569375,193 000,Nərimanov r.,3,148.8,10,17,bugün 18:28,https://bina.az/items/2569375
2569364,260 000,Elmlər Akademiyası m.,3,117,9,16,bugün 18:31,https://bina.az/items/2569364
2496807,151 000,8 Noyabr m.,3,144,17,17,bugün 18:27,https://bina.az/items/2496807
2569366,237 000,Şah İsmayıl Xətai m.,3,125,12,16,bugün 18:26,https://bina.az/items/2569366
2549471,275 000,Xətai r.,3,157,17,20,bugün 18:24,https://bina.az/items/2549471
2569355,315 000,Xətai r.,3,140,4,7,bugün 18:22,https://bina.az/items/2569355
2569353,55 000,Masazır q.,3,58,3,7,bugün 18:22,https://bina.az/items/2569353
2505515,147 000,Nəsimi r.,3,77,3,6,bugün 18:18,https://bina.az/items/2505515
2569342,105 000,Memar Əcəmi m.,3,65,3,5,bugün 18:18,https://bina.az/items/2569342
2569336,82 000,Yeni Yasamal q.,3,49,6,18,bugün 18:15,https://bina.az/items/2569336
2569327,157 000,Sahil m.,3,75,3,5,bugün 18:10,https://bina.az/items/2569327
2569326,320 000,Nəsimi r.,3,174,4,20,bugün 18:10,https://bina.az/items/2569326
2569321,239 000,Nəriman Nərimanov m.,3,153,7,16,bugün 18:08,https://bina.az/items/2569321
2569314,250 000,Nəriman Nərimanov m.,3,93,14,16,bugün 18:05,https://bina.az/items/2569314
2542823,201 600,Nəsimi r.,3,126,2,16,bugün 18:00,https://bina.az/items/2542823
2569301,125 000,Həzi Aslanov m.,3,88,16,18,bugün 18:02,https://bina.az/items/2569301
2569296,245 000,20 Yanvar m.,3,130,6,19,bugün 17:57,https://bina.az/items/2569296
2295671,400 000,Elmlər Akademiyası m.,3,158,14,17,31 dekabr 2021,https://bina.az/items/2295671
1494462,85 000,Bayıl q.,3,72,1,3,07 yanvar 2022,https://bina.az/items/1494462
2515078,169 900,20 Yanvar m.,3,93,8,16,13 yanvar 2022,https://bina.az/items/2515078
2529326,367 000,Şah İsmayıl Xətai m.,3,145,8,17,27 dekabr 2021,https://bina.az/items/2529326
220,132 286,Yasamal r.,3,95.2,,,13 yanvar 2022,https://bina.az/items/220
85,498 105,Sea Breeze ,3,158.4,,,bugün 12:32,https://bina.az/items/85
206,274 360,Bakı,3,144.4,,,bugün 10:57,https://bina.az/items/206
86,458 663,Sea Breeze ,3,138.4,,,bugün 12:33,https://bina.az/items/86
2569291,215 000,Nəriman Nərimanov m.,3,116,13,17,bugün 17:57,https://bina.az/items/2569291
2569289,175 000,Nəsimi r.,3,159,16,16,bugün 17:56,https://bina.az/items/2569289
2552648,185 000,8-ci kilometr q.,3,140,15,19,bugün 17:55,https://bina.az/items/2552648
2569287,100 000,Əhmədli q.,3,80,7,9,bugün 17:54,https://bina.az/items/2569287
2557682,263 500,Xətai r.,3,155,4,8,bugün 17:54,https://bina.az/items/2557682
2569274,113 000,Binəqədi r.,3,80,7,9,bugün 17:50,https://bina.az/items/2569274
2569268,140 000,İnşaatçılar m.,3,80,5,10,bugün 17:48,https://bina.az/items/2569268
2569267,205 000,Şah İsmayıl Xətai m.,3,110,16,17,bugün 17:48,https://bina.az/items/2569267
2569266,128 000,Yeni Yasamal q.,3,100,12,19,bugün 17:47,https://bina.az/items/2569266
2292898,209 000,Nəsimi r.,3,100,8,16,bugün 17:46,https://bina.az/items/2292898
2569262,230 000,Nəsimi r.,3,129,16,18,bugün 17:46,https://bina.az/items/2569262
2498544,123 000,Memar Əcəmi m.,3,89,2,15,bugün 17:45,https://bina.az/items/2498544
2541897,168 000,Yeni Yasamal q.,3,115,10,20,bugün 17:45,https://bina.az/items/2541897
2498968,140 000,Elmlər Akademiyası m.,3,124,4,16,bugün 17:44,https://bina.az/items/2498968
2569254,165 000,Həzi Aslanov m.,3,100,15,19,bugün 17:44,https://bina.az/items/2569254
2541346,215 000,Nəsimi r.,3,148,10,27,bugün 17:43,https://bina.az/items/2541346
2539396,149 000,Yeni Yasamal q.,3,117,7,12,bugün 17:43,https://bina.az/items/2539396
2569252,145 000,Həzi Aslanov q.,3,96,7,14,bugün 17:43,https://bina.az/items/2569252
2498975,149 000,Yasamal r.,3,130,4,16,bugün 17:43,https://bina.az/items/2498975
2500743,189 000,Memar Əcəmi m.,3,116,12,15,bugün 17:43,https://bina.az/items/2500743
2476213,176 000,20 Yanvar m.,3,119,9,19,bugün 17:42,https://bina.az/items/2476213
2403602,134 000,Qara Qarayev m.,3,136,2,17,bugün 17:42,https://bina.az/items/2403602
2403550,154 000,20 Yanvar m.,3,102,5,16,bugün 17:42,https://bina.az/items/2403550
2499558,550 000,Elmlər Akademiyası m.,3,160,8,19,bugün 17:42,https://bina.az/items/2499558
2503956,270 000,Gənclik m.,3,138,8,16,08 yanvar 2022,https://bina.az/items/2503956
